10
-94.1338501	-10.24092197	-7.942867279	8.424066544	-51.3595047	-13.02366543	0	1	0
-97.91203308	-25.4377327	0.7081422806	-75.8380661	113.3031693	-16.62301636	0	2	0
-59.37147141	-23.94875336	-33.66424179	15.19634056	84.98277283	11.28077316	0	3	0
-109.8890381	-14.82122135	-20.2456913	47.31357956	102.7037811	106.7832794	0	4	0
-54.44576645	-47.79874802	12.07619572	67.72760773	-3.312748909	64.93520355	0	5	0
-89.45976257	-30.03551102	2.257252693	123.305687	50.86697006	80.86460114	0	6	0
-116.9090881	-1.441014528	-48.7930603	43.66388702	12.78201389	9.504154205	0	7	0
-102.4515839	-57.55793381	-4.656545639	155.2062531	7.16575861	-22.50758171	0	8	0
-120.6818008	4.210097313	-11.37493706	111.9189148	-124.500946	15.78847885	0	9	0
-62.24247742	-73.48548889	-19.82637215	57.52292633	123.3003464	16.37857819	0	10	0

